周次,阶段,目标人群,主题,形式,核心行动,主要渠道,衡量指标
1,洞察,潜在学员,"你最想带回企业解决的一个问题是什么",访谈招募,预约15分钟访谈,老学员与企业微信,有效访谈数
1,品牌,全部,"南京大学EDP官方项目与报名渠道说明",公众号图文,查看项目FAQ,公众号与官网,FAQ阅读与咨询
2,洞察,HR与业务负责人,"2027干部培养最难衡量的是什么",小型圆桌,申请闭门参与,定向邀请,报名与到场率
2,获客,制造业高管,"企业AI场景优先级自测",测评/清单,提交测评并预约解读,公众号与伙伴渠道,有效线索率
3,信任,企业一号位,"AI项目为何常停在演示阶段",教授短视频,领取场景清单,视频号,完播与留资
3,活动,制造业高管,"AI场景落地闭门会",线下闭门会,申请席位,定向邀请,实到与咨询率
4,证据,企业一号位,"从课堂到企业：行动学习如何设计",深度图文,预约课程匹配,公众号,咨询率
4,培育,公开课潜客,"卓越管理者研修适合谁、不适合谁",线上说明会,提交申请,视频号直播,到场与申请率
5,获客,出海企业,"企业出海前必须回答的12个决策问题",下载工具,下载并预约诊断,公众号与搜索,下载到咨询率
5,信任,出海企业,"海外市场选择的三个常见误区",教授对谈,报名出海专场,视频号,专场报名
6,活动,出海企业,"制造企业出海决策工作坊",小型工作坊,申请课程/诊断,伙伴共办,申请与商机数
6,社群,潜在学员,"一班同学如何被筛选与组织",图文/短视频,了解申请流程,公众号与视频号,申请页访问
7,证据,HR,"培训不等于听课：行动项目的四步法",白皮书节选,预约企业访谈,定向邮件/微信,企业会谈数
7,伙伴,HR与企业家,"产业园/银行客户联合专场",线下活动,申请诊断,伙伴渠道,合格商机数
8,人文,企业一号位,"不确定性中的企业家判断力",教授长谈,报名旗舰班说明会,公众号与视频号,咨询数
8,转介绍,老学员,"邀请一位值得同窗的同行",定向邀请,提交推荐,一对一触达,有效推荐数
9,转化,A类潜客,"课程模块与企业问题如何匹配",一对一咨询,完成申请,企业微信/电话,咨询到申请率
9,体验,公开课潜客,"师生对谈：把一个真实经营问题带进课堂",体验活动,完成申请,线下/直播,申请率
10,异议,潜在学员,"时间、预算、同学质量：报名前的真实问题",FAQ图文,预约咨询,公众号,FAQ到咨询率
10,B2B,企业决策人,"中层领导力项目如何与业务指标相连",案例型方案,预约管理团队诊断,定向触达,方案机会数
11,转化,A类潜客,"申请截止与席位状态（仅使用真实信息）",定向提醒,完成申请/缴费,企业微信/电话,缴费率
11,信任,全部,"课程交付团队与学习服务如何工作",幕后纪实,咨询官方顾问,公众号与视频号,咨询数
12,复盘,未成交潜客,"没有选择本项目的主要原因",短问卷,提交反馈,定向触达,问卷完成率
12,品牌,全部,"江苏企业管理者最关心的五个议题",研究摘要,订阅下一期活动,公众号与伙伴渠道,新增订阅与咨询

