天次,母题,公众号,抖音,小红书,微博,主要行动,渠道码示例,负责人,状态
1,官方身份,"官方项目与报名渠道说明",官方账号30秒说明,"南京大学EDP官方信息怎么核验",置顶官方身份说明,访问官方项目页,ALL-OFFICIAL-01,,待排期
2,AI落地,,老板做AI先别买系统,,教授观点卡：AI项目首要问题,评论企业AI难题,DY-AI-01,,待排期
3,AI落地,"制造企业AI场景优先级：四项评分",,9页AI场景评分表,文章要点线程,下载评分表,WX-AI-01,,待排期
4,AI落地,,三个最容易落地的流程如何筛选,,短评当日AI产业新闻,预约闭门会,DY-AI-02,,待排期
5,AI落地,,,老板做AI前先问的8个问题,闭门会首次预告,申请闭门会,XHS-AI-02,,待排期
6,课堂方法,"为什么高管课需要行动学习",课堂方法短片,,课堂方法观点卡,了解主推项目,WX-METHOD-01,,待排期
7,周答疑,,回答本周最高质量评论,,一周问题总结,预约咨询,DY-QA-01,,待排期
8,企业出海,,出海前先回答三个问题,,教授出海观点卡,评论目标市场,DY-GLOBAL-01,,待排期
9,企业出海,"企业出海12问：市场到组织",,出海决策清单,长文摘要,下载清单,WX-GLOBAL-01,,待排期
10,企业出海,,为什么订单不等于出海能力,,江苏企业出海热点快评,报名出海活动,DY-GLOBAL-02,,待排期
11,项目选择,,,EDP和EMBA/MBA分别适合谁,投票：高管学习最看重什么,收藏并查看FAQ,XHS-CHOICE-01,,待排期
12,企业出海,"制造业与软件企业出海问题不同",企业案例问题拆解,,活动预告与嘉宾观点,申请活动,WX-GLOBAL-02,,待排期
13,直播,直播预告,教授直播：出海决策,,直播同步观点,预约/进入直播,DY-LIVE-01,,待排期
14,直播复盘,,直播三条核心判断,直播要点清单,直播金句与回放提示,预约咨询,DY-LIVE-02,,待排期
15,旗舰项目,"卓越管理者研修适合谁、不适合谁",不适合报名的三类人,,项目事实卡,查看申请条件,WX-PROGRAM-01,,待排期
16,旗舰项目,,24天学习如何降低时间成本,,问答：长期班时间怎么安排,预约项目说明会,DY-PROGRAM-01,,待排期
17,学员结构,,,报名前如何判断同学质量,班级筛选机制要点,查看申请流程,XHS-PEER-01,,待排期
18,企业定制,"企业培训为什么听完没有行动",,行动学习四步法,HR话题快评,预约企业诊断,WX-B2B-01,,待排期
19,企业定制,,中层项目如何连接业务问题,,企业定制观点卡,预约企业访谈,DY-B2B-01,,待排期
20,活动现场,闭门会提醒,闭门会前问题征集,,活动议程与实时更新,参加闭门会,EVENT-AI-01,,待排期
21,活动复盘,"闭门会形成的五个管理议题",现场问题短片,现场方法记录,现场观点线程,预约后续咨询,WX-EVENT-01,,待排期
22,经营韧性,,增长放缓时先查战略还是组织,,教授宏观经营快评,评论经营难题,DY-STRATEGY-01,,待排期
23,经营韧性,"经营韧性诊断：现金流、客户与组织",,企业经营自查清单,文章摘要,下载诊断表,WX-STRATEGY-01,,待排期
24,项目FAQ,,课程师资怎么确认才可靠,,官方师资信息说明,访问项目页,DY-FAQ-01,,待排期
25,南京学习场景,,,外地高管来南京学习的时间安排,南京同城话题内容,收藏行程,XHS-NANJING-01,,待排期
26,教授观点,"不确定性中的管理者判断力",教授90秒观点,,教授观点卡,报名说明会,WX-LEADER-01,,待排期
27,说明会,项目说明会预告,直播预告,,问答征集,预约说明会,ALL-BRIEFING-01,,待排期
28,说明会,,项目负责人直播答疑,申请前必须核验的10项信息,直播观点与FAQ,提交申请,DY-LIVE-03,,待排期
29,申请转化,"申请流程、截止日与官方收费说明",申请三步说明,,真实席位与截止信息,完成申请,WX-APPLY-01,,待排期
30,月度复盘,"江苏管理者本月最关心的五个问题",月度高频问题合集,一个月收藏最高的三张清单,月度议题总结,订阅下月活动,ALL-RECAP-01,,待排期
